YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"CONDITION in PCT POOR","CONDITION in PCT VERY POOR","CONDITION in PCT GOOD","CONDITION in PCT FAIR","CONDITION in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT EXCELLENT","CONDITION, 5 YEAR AVG in PCT POOR","CONDITION, 5 YEAR AVG in PCT VERY POOR","CONDITION, 5 YEAR AVG in PCT GOOD","CONDITION, 5 YEAR AVG in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT POOR","CONDITION, PREVIOUS YEAR in PCT EXCELLENT","CONDITION, PREVIOUS YEAR in PCT FAIR","CONDITION, PREVIOUS YEAR in PCT VERY POOR","CONDITION, PREVIOUS YEAR in PCT GOOD"
1993,"US TOTAL","  ","  ","   ","WEEK #40",CORN,12,3,43,36,6," "," "," "," "," "," "," "," "," "," "
1993,"US TOTAL","  ","  ","   ","WEEK #41",CORN,15,3,40,36,6," "," "," "," "," "," "," "," "," "," "
1993,"US TOTAL","  ","  ","   ","WEEK #42",CORN,15,4,39,36,6," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1," ",70,20,9," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #22",CORN,2," ",66,25,7," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #23",CORN,2," ",65,25,8," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #24",CORN,2," ",67,21,10," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #25",CORN,3," ",61,18,18," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #26",CORN,1," ",61,16,22," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1," ",57,14,28," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1," ",57,13,29," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #29",CORN,2," ",55,12,31," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #30",CORN,2,1,56,12,29," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #31",CORN,2," ",59,14,25," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #32",CORN,2,1,59,14,24," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #33",CORN,2,1,59,16,22," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #34",CORN,2,1,58,20,19," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #35",CORN,2," ",61,18,19," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #36",CORN,2," ",63,14,21," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #37",CORN,2," ",62,15,21," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #38",CORN,2," ",60,13,25," "," "," "," "," "," "," "," "," "," "
1994,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1,1,60,12,26," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #24",CORN,7,1,51,32,9," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #25",CORN,7,1,51,32,9," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #26",CORN,6,1,50,30,13," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #27",CORN,6,1,53,27,13," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #28",CORN,7,1,50,30,12," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #29",CORN,8,1,48,31,12," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #30",CORN,7,2,48,30,13," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #31",CORN,7,1,51,28,13," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #32",CORN,6,1,52,27,14," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #33",CORN,6,1,52,26,15," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #34",CORN,7,2,50,28,13," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #35",CORN,9,1,48,30,12," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #36",CORN,9,2,49,31,9," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #37",CORN,9,2,46,34,9," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #38",CORN,10,2,46,35,7," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #39",CORN,10,2,44,36,8," "," "," "," "," "," "," "," "," "," "
1995,"US TOTAL","  ","  ","   ","WEEK #40",CORN,10,2,46,36,6," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #22",CORN,9,2,45,38,6," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #23",CORN,9,2,44,39,6," "," "," "," "," "," "," "," "," "," "
1996,"US TOTAL","  ","  ","   ","WEEK #24",CORN,9,2,48,33,8," "," "," "," "," "," "," "," "," "," "
